radar,track_number,utctimestr,gps_epoch,CntrdLatRng,CntrdLatRRat,CntrdLatAcel,CntrdLngRng,CntrdLngRRat,CntrdLngAcel,CoNrstFcLatRng,CoNrstFcLatRRat,CoNrstFcLatAcel,CoNrstFcLngRng,CoNrstFcLngRRat,CoNrstFcLngAcel,NrstFacTyp,Width,DynamProp,MeasStat,ObjElevtn,ObjID,BurstID,CntrdHeight,RTK_X_M,RTK_Y_M,RTK_Z_M,RTK_EASTING_M,RTK_NORTHING_M,RTK_ALT_M
LF,3,2017-May-19 10:24:27.855191575,1495189485.8551915,9.4000000000000004,-1.625,-8.125,43.710000000000001,14.125,5.875,9.7300000000000004,-1.875,-8.125,41.810000000000002,14.0,5.875,0,1.74,3,3,3,6.0,-1,1.0,44.160000000000004,9.3070000000000004,-0.84400000000000008,299996.57543936989,4701303.8038491458,246.14392648195229
LF,1,2017-May-19 10:24:27.895188800,1495189485.8951888,2.5,-3.875,-9.25,35.350000000000001,13.0,3.625,2.8799999999999999,-4.125,-9.25,33.490000000000002,13.0,3.625,0,1.6799999999999999,3,3,3,5.0,-1,1.0,35.800000000000004,2.407,-0.84400000000000008,300005.86400648585,4701299.17285519,246.57737614617409
LF,2,2017-May-19 10:24:27.895188800,1495189485.8951888,5.0899999999999999,-2.125,-7.5,15.1,14.375,2.125,5.2800000000000002,-2.25,-7.5,13.109999999999999,14.375,2.125,0,1.5800000000000001,3,3,3,19.0,-1,1.0,15.549999999999999,4.9969999999999999,-0.84400000000000008,300010.57349074882,4701279.3268462522,247.43018750198641
LF,3,2017-May-19 10:24:27.895188800,1495189485.8951888,9.2300000000000004,-2.875,-8.75,44.32,14.25,5.125,9.5700000000000003,-3.0,-8.75,42.420000000000002,14.25,5.125,0,1.74,3,3,3,6.0,-1,1.0,44.770000000000003,9.1370000000000005,-0.84400000000000008,299996.40889161493,4701305.1823826805,246.0872923616848
LF,1,2017-May-19 10:24:27.915187400,1495189485.9151874,2.3399999999999999,-4.0,-9.125,35.859999999999999,13.125,3.625,2.73,-4.25,-9.125,34.0,13.0,3.625,0,1.6799999999999999,3,3,3,5.0,-1,1.0,36.310000000000002,2.2469999999999999,-0.84400000000000008,300005.76983811118,4701300.065270219,246.54986061488788
LF,2,2017-May-19 10:24:27.915187400,1495189485.9151874,4.9800000000000004,-2.375,-7.5,15.640000000000001,14.375,2.25,5.1699999999999999,-2.5,-7.5,13.67,14.375,2.25,0,1.5800000000000001,3,3,3,19.0,-1,1.0,16.09,4.8870000000000005,-0.84400000000000008,300010.39001800586,4701280.2223911425,247.40548183390095
LF,3,2017-May-19 10:24:27.915187400,1495189485.9151874,9.0800000000000001,-3.125,-8.75,44.890000000000001,14.375,5.125,9.4499999999999993,-3.25,-8.75,43.0,14.375,5.125,0,1.74,3,3,3,6.0,-1,1.0,45.340000000000003,8.9870000000000001,-0.84400000000000008,299996.29409131926,4701306.1424182896,246.05287563931191
LR,1,2017-May-19 10:24:27.915497350,1495189485.9154973,10.19,-4.875,-4.375,-41.0,15.875,3.625,10.19,-4.625,-4.375,-39.0,15.875,3.625,1,1.6000000000000001,3,3,0,15.0,-1,1.0,-40.549999999999997,10.097,-0.84400000000000008,300025.37736132933,4701225.407102624,249.83393500785917
LF,1,2017-May-19 10:24:27.955184525,1495189485.9551845,2.1600000000000001,-4.625,-9.375,36.32,13.0,3.375,2.5699999999999998,-4.75,-9.375,34.469999999999999,13.0,3.375,0,1.6799999999999999,3,3,3,5.0,-1,1.0,36.770000000000003,2.0670000000000002,-0.84400000000000008,300005.65382082644,4701301.2796329539,246.52350844901591
LF,2,2017-May-19 10:24:27.955184525,1495189485.9551845,4.8499999999999996,-2.5,-7.625,16.170000000000002,14.5,2.125,5.0599999999999996,-2.75,-7.625,14.210000000000001,14.5,2.125,0,1.5800000000000001,3,3,3,19.0,-1,1.0,16.620000000000001,4.7569999999999997,-0.84400000000000008,300010.13710222481,4701281.4699742384,247.38153496968175
